cell,dataset,mode,downsample,arch,lr,seed,algo,grid_size,n_params,acc_last,acc_mean5,acc_mean10,acc_best,f1_macro,fpr,mcc,uplink_total_MB,rounds,osc10
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.003,2026,fedavg,5,1346,0.6089193825042881,0.6148245225200918,0.6124462774876174,0.6226800547343265,0.5551247957228338,0.04125622899524861,0.30617946677040586,2.692,50,0.017962109969742013
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.01,23,fedavg,5,3280,0.9663692254321892,0.9690982326979782,0.9688553973056834,0.9726713820417445,0.966337615613799,0.0008112179858615898,0.9347632898932171,7.688,50,0.009732688341973827
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.1,37,fedavg,5,1346,0.9851986046601268,0.9820610172104767,0.9841443906951645,0.9934858442384412,0.9851948436292831,0.028624406072546016,0.9707630515470265,2.692,50,0.01430030643513791
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.01,37,fedavg,5,1346,0.9954901998573824,0.995197255574614,0.9950160926629019,0.9954901998573824,0.9954901508753151,0.005639896473133232,0.9909827895524593,2.692,50,0.0009829051592884497
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.03,43,fedavg,5,6560,0.864744541021836,0.8281033784955769,0.8467149767764566,0.99238730317806,0.8623261167762339,0.266195387646309,0.755493843068577,14.44,50,0.1477634089463642
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.01,2024,fedavg,5,6560,0.959643070518627,0.9520727735270876,0.9435947347119702,0.959643070518627,0.9596410514324797,0.031173948313825472,0.9194463825577643,14.44,50,0.04288164665523153
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.003,37,fedavg,5,3362,0.996184015263939,0.9961608880837204,0.9961493244936112,0.9965887409177636,0.9961839924027112,0.004094719357206289,0.9923681298540851,6.724,50,0.0006745427563744633
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.1,23,fedavg,5,1346,0.9719582939850059,0.9728563994834929,0.9733883246285195,0.9748684641625069,0.9719398575889173,0.0002317765673890415,0.9453862683613697,2.692,50,0.002910170177501059
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.0003,2024,fedavg,5,3362,0.7943608225567098,0.7944379131574383,0.7945670399136586,0.7971553568331181,0.7880359484999074,0.030787654034843737,0.6286977685519602,6.724,50,0.00040472565382465575
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.01,31,fedavg,5,3362,0.9735964692504866,0.9728486904234203,0.972540328020506,0.9742902846570431,0.9735865994343842,0.00490593734306799,0.9480750551263065,6.724,50,0.0027945342764083003
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.01,23,fedavg,5,1346,0.9665234066336462,0.9664655886830997,0.9676238749590456,0.9722088384373735,0.9664911444153792,0.0002704059952871596,0.93512017450883,2.692,50,0.005820340355002229
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.003,31,fedavg,5,1346,0.933605720122574,0.9340644091969088,0.9342378630485477,0.9486962052151792,0.9335888901383045,0.08031058060030127,0.8675305911981611,2.692,50,0.0015418120145701542
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.003,23,fedavg,5,3362,0.9670052228881993,0.9669281322874708,0.9678493649661764,0.9722666563879199,0.9669743278742475,0.0002317765673890415,0.9360307140849956,6.724,50,0.005627613853180891
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.03,2024,fedavg,5,3362,0.8663827162873167,0.8644708693892497,0.860413976525912,0.8663827162873167,0.8639201522252222,0.2665430524973925,0.7597394638783018,6.724,50,0.031106057393952224
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.001,17,fedavg,5,3280,0.9742131940563147,0.974217048586351,0.974143812515659,0.974251739356679,0.9742003215224562,0.0012747711206396728,0.94957344506734,7.688,50,0.00023127180218551757
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.001,43,fedavg,5,3280,0.8729932352997861,0.8737140324165976,0.8743114845722435,0.9245668471871568,0.8709638909362885,0.25078224591493803,0.7696150720592924,7.688,50,0.007824695973943308
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.003,2026,fedavg,5,3362,0.5934048991076762,0.5923063580472951,0.5969260122959507,0.6162815348738605,0.5235313237591879,0.0215165913392823,0.29433796795650946,6.724,50,0.03068205908994548
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.01,37,fedavg,5,3280,0.9967621947694028,0.9406980553895966,0.9395821689440516,0.9967621947694028,0.9967621391766762,0.0052149727662533785,0.993531982442818,7.688,50,0.08150403762021319
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.0003,31,fedavg,5,6560,0.8833041031472237,0.8668028600612869,0.8600227417272149,0.8833041031472237,0.8828167989999159,0.17939506315911458,0.7725693165922731,14.44,50,0.032802050609979316
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.003,37,fedavg,5,6560,0.9959141981613892,0.9607261934588625,0.9631738200319925,0.9966080135679457,0.9959141891634598,0.0033993896550391645,0.9918293371575786,14.44,50,0.07055717231676528
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.001,29,fedavg,5,3280,0.7204694817584366,0.7194249041185654,0.7166689151425212,0.7204694817584366,0.696580988472616,0.5591609688260517,0.5303194738445172,7.688,50,0.010985410603812196
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.003,37,fedavg,5,1346,0.9958563802108428,0.9959527434617534,0.9958583074758609,0.9960298340624819,0.9958563722322077,0.0033607602271410464,0.9917139880601765,2.692,50,0.0004818162545531246
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.001,11,fedavg,5,3280,0.9215410411085628,0.9172393855879122,0.9193208318075821,0.958428893557153,0.9210860223983388,0.15254761076988455,0.8523617476132179,7.688,50,0.03812130206024633
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.01,37,fedavg,5,3362,0.9931774818355272,0.993755661340991,0.9934704261182954,0.9955287451577466,0.9931770411510642,0.012709081778498832,0.9864222780872294,6.724,50,0.0032570778807793355
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.1,23,fedavg,5,3280,0.9561161755352978,0.8972767745292656,0.8683716537861121,0.9722859290381021,0.9560968720321188,0.020782632209216945,0.9132196490716539,7.688,50,0.45832289398115134
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.01,31,fedavg,5,3280,0.9717077495326383,0.9723013471582478,0.9722146202324282,0.9727677452926552,0.971691971070016,0.0025109128133812275,0.9446784970005266,7.688,50,0.002370535972401555
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.0003,37,fedavg,5,6560,0.9702815734191609,0.9703471004297801,0.9703432458997436,0.9705321178715285,0.9702717542318349,0.009386950979256015,0.9413481395405514,14.44,50,9.636325091066933e-05
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.003,31,fedavg,5,6560,0.9674870391427525,0.9672943126409314,0.9673039489660225,0.9681615818991269,0.967477079491948,0.012863599490091526,0.9357041136291857,14.44,50,0.002081446219669658
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.1,2024,fedavg,5,3362,0.9131188929789735,0.9265249484456607,0.9189931967544857,0.9746371923603214,0.9124339494691753,0.1735233901185923,0.8387589238791152,6.724,50,0.06926590475456273
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.0003,2024,fedavg,5,3280,0.4966947404937653,0.4966947404937653,0.49723437469886483,0.7455624722955654,0.33189504394027064,0.004481013636188025,-0.0468304199098539,7.688,50,0.005338524100449105
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.001,42,fedavg,5,3280,0.9750997359646925,0.9750457725441827,0.9747297010811955,0.9750997359646925,0.9750879832120114,0.0010043651253525132,0.9512914245060611,7.688,50,0.0011563590109275879
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.1,43,fedavg,5,6560,0.508528147705591,0.8625898587314742,0.9034748588278376,0.9714764777304528,0.35056338505569584,0.9846254876965272,0.08421573611375043,14.44,50,0.4629483300248618
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.001,42,fedavg,5,1346,0.974116830805404,0.9741168308054039,0.9741534488407501,0.9744830111588645,0.9741041101526658,0.0015451771159269434,0.9493643430720875,2.692,50,0.00042399830400685623
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.03,17,fedavg,5,3280,0.9977065546283269,0.9978992811301483,0.9978009906142192,0.9988050956887081,0.9977065535243081,0.0008112179858615898,0.995417501437852,7.688,50,0.0012527222618381462
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.0003,29,fedavg,5,3280,0.49891109526470984,0.49891109526470984,0.49891109526470984,0.49891109526470984,0.3328490240954561,0.0,,7.688,50,0.0
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.001,17,fedavg,5,6560,0.9743095573072253,0.9742054849962418,0.9741862123460597,0.9743095573072253,0.9742966219316732,0.0010816239811488604,0.9497754167481366,14.44,50,0.00028908975273189697
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.003,2026,fedavg,5,3280,0.950353653130842,0.9445757126062404,0.9335267022568272,0.950353653130842,0.9502433517553033,0.00038629427898173585,0.9051298360965037,7.688,50,0.03947038757299515
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.0003,37,fedavg,5,3362,0.9726713820417445,0.9726174186212347,0.972594291441016,0.9726713820417445,0.9726566348633807,0.0019314713949086793,0.9465705906954789,6.724,50,0.00013490855127484824
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.03,42,fedavg,5,3362,0.9984581879854298,0.9981922254129165,0.9983367702892825,0.9988436409890724,0.9984581861247805,0.000463553134778083,0.9969186983066106,6.724,50,0.0011370863607454984
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.01,23,fedavg,5,6560,0.9728641085435659,0.970482008981055,0.9712201514830305,0.9749070094628712,0.9728477650360272,0.0004249237068798539,0.9470864772431923,14.44,50,0.008788328483049668
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.0003,11,fedavg,5,3280,0.9312159114999904,0.9310231849981692,0.9319309268217472,0.9329311773661996,0.9312122220523522,0.07409124270869549,0.8624737660767702,7.688,50,0.0020621735694874577
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.03,29,fedavg,5,3362,0.9273806541137471,0.9250910632721105,0.9246805558232314,0.9440707691714688,0.9273475845720226,0.09197666782554947,0.8553766722594847,6.724,50,0.01046504904889467
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.0003,2026,fedavg,5,1346,0.49891109526470984,0.49891109526470984,0.49891109526470984,0.49891109526470984,0.3328490240954561,0.0,,2.692,50,0.0
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.1,37,fedavg,5,3362,0.9861815098194152,0.9853682039817295,0.9843178445468037,0.992849846782431,0.9861784183563431,0.02665430524973922,0.9726790617908152,6.724,50,0.014242488484591531
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.0003,42,fedavg,5,3280,0.9717655674831847,0.9717578584231118,0.9716923314124924,0.9717848401333667,0.9717505081010333,0.0029744659481593105,0.944743833773049,7.688,50,0.00017345385163913818
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.001,43,fedavg,5,6560,0.8993004027983889,0.8943935860620194,0.8868444889856804,0.9019407558733401,0.8982827202429648,0.1989801831034882,0.8142717078037133,14.44,50,0.026403530749513404
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.01,2024,fedavg,5,1346,0.8096440341511362,0.7816177462562878,0.7721895657871916,0.8895098965058685,0.8024222542618775,0.380190829373817,0.6686737585118285,2.692,50,0.07452733825428337
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.03,43,fedavg,5,3280,0.8799699346657159,0.8770597644882148,0.8819954901998575,0.9924836664289707,0.8781652523819552,0.2400818943871441,0.7825270348993117,7.688,50,0.30878640121803147
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.03,11,fedavg,5,3362,0.9196523213907144,0.9193979224083103,0.9199587565286101,0.924451211286064,0.9191080803889304,0.1605439023448063,0.850166159919429,6.724,50,0.010175959296162884
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.01,2026,fedavg,5,3280,0.9650201399194404,0.9653400659124636,0.9651781756509337,0.9667546784358317,0.9649924985827989,0.004712790203577066,0.931758624574177,7.688,50,0.0017923564669377612
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.001,29,fedavg,5,1346,0.5669050051072523,0.5671709676797657,0.5669686048528534,0.5681577273690905,0.4797723762863772,0.02170973847877311,0.2373170051387217,2.692,50,0.004394164241524834
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.003,37,fedavg,5,3280,0.9953745639562896,0.9636826179968008,0.967091949814019,0.9953745639562896,0.9953745618516785,0.003128983659752005,0.9907536224340056,7.688,50,0.058877946306396645
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.003,2024,fedavg,5,6560,0.7954979089174552,0.7948580569314087,0.7939291151926302,0.7960568157727369,0.7864540441143424,0.4090083825858539,0.6467966856917041,14.44,50,0.003989438587700178
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.1,17,fedavg,5,6560,0.9618594252895716,0.9627151309576579,0.9639177443290228,0.9945843852988224,0.9618490419787502,0.019507861088577272,0.9243695912629272,14.44,50,0.0054156147011775735
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.001,11,fedavg,5,1346,0.9573303524967718,0.9566635188004702,0.9556112321005262,0.9573303524967718,0.9573277527057549,0.032757754857650534,0.9148463711947069,2.692,50,0.004567618093163972
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.03,43,fedavg,5,3362,0.9191126871856149,0.8875248135371094,0.8860388922080675,0.9207315898009135,0.9185797201648143,0.15996446092633365,0.8487642168184731,6.724,50,0.07907568369726525
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.03,11,fedavg,5,3280,0.9739433769537649,0.962352805134234,0.955185306531501,0.974560101759593,0.9739349493377825,0.005910302468420392,0.9486623271597002,7.688,50,0.07292770828916684
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.001,11,fedavg,5,6560,0.9199028658430821,0.9201457012353769,0.9169329504500165,0.9318711816061827,0.9194111535978862,0.15637192413180356,0.8496135393563452,14.44,50,0.008402875479407212
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.0003,31,fedavg,5,3362,0.9095149073949159,0.9090523637905449,0.896490450401835,0.9095149073949159,0.9093701062979602,0.12855873604511914,0.8213496873723535,6.724,50,0.03945111492281306
