run_id,exp,model,variant,mode,partition,alpha,seed,n_params,rounds,final_accuracy,final_f1_macro,final_f1_weighted,best_accuracy,bytes_per_round_uplink_per_client,total_uplink_bytes
e1_botiot_binary_mlp_h32__dir1.0__seed2026,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,1.0,2026,1346,50,0.9972054657235917,0.9972054647894022,0.9972054683081826,0.9972054657235917,5384,2692000
e1_botiot_binary_mlp_h32__dir1.0__seed42,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,dirichlet,1.0,42,1346,50,0.99755237342687,0.9975523729868488,0.9975523752469571,0.9975716460770521,5384,2692000
e1_botiot_binary_mlp_h32__iid__seed2024,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,iid,,2024,1346,50,0.9968200127199491,0.9968200113545291,0.9968200158925429,0.9969934665715883,5384,2692000
e1_botiot_binary_mlp_h32__iid__seed2026,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,iid,,2026,1346,50,0.9761982770250737,0.9761881129875185,0.9761870415917688,0.9761982770250737,5384,2692000
e1_botiot_binary_mlp_h32__iid__seed42,e1_botiot_binary_mlp_h32,mlp,mlp_h32,binary,iid,,42,1346,50,0.9970705571723167,0.9970705562572263,0.9970705598229237,0.9970898298224989,5384,2692000
e1_botiot_binary_mlp_h80__dir0.1__seed11,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,11,3362,50,0.9226974001194904,0.9222417327484962,0.9222546960951534,0.9924643937787885,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed17,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,17,3362,50,0.9987087324377976,0.9987087290535757,0.9987087336061597,0.9987087324377976,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed2024,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,2024,3362,50,0.8471871567059186,0.8434945854279201,0.8435469393243333,0.8471871567059186,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed2026,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,2026,3362,50,0.5645344691348507,0.46528849496150926,0.46478680420900015,0.6403723476015187,13448,6724000
e1_botiot_binary_mlp_h80__dir0.1__seed23,e1_botiot_binary_mlp_h80,mlp,mlp_h80,binary,dirichlet,0.1,23,3362,50,0.9735386512999402,0.9735234323278033,0.9735220498970544,0.9735386512999402,13448,6724000
